quadrimestre,turno,n_turmas,n_avaliados,n_aprovados,n_reprovados,taxa_reprov_pool,taxa_reprov_media_turmas,taxa_reprov_dp_turmas,taxa_reprov_min_turmas,taxa_reprov_max_turmas
2024.2,diurno,5,131,94,37,0.2824427480916031,0.27171445639187575,0.1651168162748729,0.125,0.5483870967741935
2024.2,noturno,10,305,151,154,0.5049180327868853,0.4980773135111288,0.1549388674983623,0.3103448275862069,0.7272727272727273
2025.1,diurno,20,719,513,206,0.2865090403337969,0.2955968831458456,0.19987424123161748,0.03333333333333333,0.7037037037037037
2025.1,noturno,21,751,429,322,0.42876165113182424,0.41841922161916195,0.20176757653482885,0.06451612903225806,0.7435897435897436
2025.2,diurno,5,128,82,46,0.359375,0.36402597402597403,0.2318353880623853,0.10714285714285714,0.68
2025.2,noturno,11,362,198,164,0.4530386740331492,0.4469485390322228,0.23797860821935843,0.15,0.8571428571428571
2026.1,diurno,19,648,475,173,0.26697530864197533,0.2834389086325844,0.1757213172014083,0.05555555555555555,0.7142857142857143
2026.1,noturno,21,784,521,263,0.3354591836734694,0.3236472230831982,0.24093715482998365,0.06666666666666667,0.85
2026.2,diurno,2,82,41,41,0.5,0.5214460784313726,0.17764324772456164,0.3958333333333333,0.6470588235294118
2026.2,noturno,7,287,123,164,0.5714285714285714,0.5856125987655584,0.24257757662587073,0.30434782608695654,0.8780487804878049
