quadrimestre,turma,turno,campus,matriz,docente_id,periodo_ideal,n_A,n_B,n_C,n_D,n_F,n_O,n_incompleto,n_sem_conceito,n_avaliados,n_aprovados,n_reprovados,taxa_reprov
2013.1,,diurno,SA,pre-2015,,1,6,6,4,1,6,1,0,0,24,17,7,0.2916666666666667
2013.1,,diurno,SA,pre-2015,,1,5,8,4,0,7,3,0,0,27,17,10,0.37037037037037035
2013.1,,noturno,SA,pre-2015,,1,6,8,2,1,11,0,0,0,28,17,11,0.39285714285714285
2013.1,,noturno,SBC,pre-2015,,1,11,6,8,2,1,5,0,0,33,27,6,0.18181818181818182
2013.1,,noturno,SA,pre-2015,,1,0,4,3,3,12,0,0,0,22,10,12,0.5454545454545454
2013.1,,noturno,SBC,pre-2015,,1,6,10,5,0,6,4,0,0,31,21,10,0.3225806451612903
2013.1,,noturno,SA,pre-2015,,1,4,5,6,1,11,0,0,0,27,16,11,0.4074074074074074
2013.1,,noturno,SA,pre-2015,,1,3,5,5,0,9,6,0,0,28,13,15,0.5357142857142857
2013.1,,noturno,SA,pre-2015,,1,2,4,6,0,11,0,0,0,23,12,11,0.4782608695652174
2013.1,,noturno,SA,pre-2015,,1,4,5,5,0,6,0,0,0,20,14,6,0.3
2013.1,,noturno,SA,pre-2015,,1,1,7,8,0,2,8,0,0,26,16,10,0.38461538461538464
2013.1,,noturno,SA,pre-2015,,1,8,5,4,2,6,0,0,0,25,19,6,0.24
2013.1,,noturno,SA,pre-2015,,1,9,10,1,3,5,0,0,0,28,23,5,0.17857142857142858
2013.1,,noturno,SA,pre-2015,,1,2,7,5,1,14,0,0,0,29,15,14,0.4827586206896552
2013.1,,noturno,SBC,pre-2015,,1,10,5,6,3,2,1,0,0,27,24,3,0.1111111111111111
2013.1,,noturno,SA,pre-2015,,1,2,5,4,1,11,0,0,0,23,12,11,0.4782608695652174
2013.1,,noturno,SBC,pre-2015,,1,10,7,3,0,9,1,0,0,30,20,10,0.3333333333333333
2013.1,,noturno,SA,pre-2015,,1,5,11,8,2,4,0,0,0,30,26,4,0.13333333333333333
2013.1,,noturno,SBC,pre-2015,,1,6,7,2,0,4,0,0,0,19,15,4,0.21052631578947367
2013.1,,noturno,SA,pre-2015,,1,7,6,4,1,8,2,0,0,28,18,10,0.35714285714285715
2013.1,,noturno,SA,pre-2015,,1,0,1,0,1,9,1,0,0,12,2,10,0.8333333333333334
2013.1,,noturno,SA,pre-2015,,1,10,5,3,2,8,1,0,0,29,20,9,0.3103448275862069
2013.1,,noturno,SA,pre-2015,,1,6,8,3,0,11,0,0,0,28,17,11,0.39285714285714285
2013.1,,noturno,SA,pre-2015,,1,9,9,5,0,5,0,0,0,28,23,5,0.17857142857142858
2013.1,,noturno,SA,pre-2015,,1,7,10,6,0,6,0,0,0,29,23,6,0.20689655172413793
2013.2,,diurno,SA,pre-2015,,0,0,0,2,2,9,0,0,0,13,4,9,0.6923076923076923
2013.2,,diurno,SA,pre-2015,,0,0,1,0,0,10,0,0,0,11,1,10,0.9090909090909091
2013.2,,diurno,SA,pre-2015,,0,0,3,3,0,12,0,0,0,18,6,12,0.6666666666666666
2013.2,,diurno,SBC,pre-2015,,0,7,14,8,0,4,0,0,0,33,29,4,0.12121212121212122
2013.2,,diurno,SA,pre-2015,,0,2,3,6,0,6,0,0,0,17,11,6,0.35294117647058826
2013.2,,diurno,SA,pre-2015,,0,0,16,2,0,5,0,0,0,23,18,5,0.21739130434782608
2013.2,,diurno,SA,pre-2015,,0,1,5,5,0,10,0,0,0,21,11,10,0.47619047619047616
2013.2,,noturno,SA,pre-2015,,0,1,1,2,1,7,0,0,0,12,5,7,0.5833333333333334
2013.2,,noturno,SA,pre-2015,,0,0,2,1,1,10,0,0,0,14,4,10,0.7142857142857143
2013.2,,noturno,SBC,pre-2015,,0,8,5,2,4,2,1,0,0,22,19,3,0.13636363636363635
2013.2,,noturno,SA,pre-2015,,0,1,1,0,0,14,0,0,0,16,2,14,0.875
2013.2,,noturno,SA,pre-2015,,0,0,1,0,0,12,0,0,0,13,1,12,0.9230769230769231
2014.2,,diurno,SA,pre-2015,,1,16,11,4,0,0,0,0,0,31,31,0,0.0
2014.2,,diurno,SBC,pre-2015,,1,8,13,6,0,3,0,0,0,30,27,3,0.1
2014.2,,diurno,SA,pre-2015,,1,2,3,7,1,8,0,0,0,21,13,8,0.38095238095238093
2014.2,,diurno,SBC,pre-2015,,1,13,3,1,3,2,5,0,0,27,20,7,0.25925925925925924
2014.2,,diurno,SA,pre-2015,,1,8,10,6,3,2,0,0,0,29,27,2,0.06896551724137931
2014.2,,diurno,SBC,pre-2015,,1,4,4,0,0,12,0,0,0,20,8,12,0.6
2014.2,,diurno,SA,pre-2015,,1,5,3,5,3,6,4,0,0,26,16,10,0.38461538461538464
2014.2,,diurno,SBC,pre-2015,,1,9,7,5,0,3,0,0,0,24,21,3,0.125
2014.2,,diurno,SA,pre-2015,,1,10,4,2,1,5,6,0,0,28,17,11,0.39285714285714285
2014.2,,diurno,SA,pre-2015,,1,8,3,4,8,1,0,1,1,24,23,1,0.041666666666666664
2014.2,,diurno,SA,pre-2015,,1,8,6,3,2,3,0,0,3,22,19,3,0.13636363636363635
2014.2,,diurno,SA,pre-2015,,1,7,4,4,2,6,2,0,0,25,17,8,0.32
2014.2,,diurno,SA,pre-2015,,1,6,1,6,3,4,4,0,0,24,16,8,0.3333333333333333
2014.2,,diurno,SBC,pre-2015,,1,5,12,3,5,11,0,0,0,36,25,11,0.3055555555555556
2014.2,,diurno,SA,pre-2015,,1,24,4,0,1,0,0,0,0,29,29,0,0.0
