term,class_label,shift,campus,curriculum,on_schedule_term,instructor_prior,n_A,n_B,n_C,n_D,n_F,n_O,n_I,n_no_grade,n_assessed,n_passed,n_failed
2016.2,,day,1,2015,0,False,7,7,1,3,4,3,0,0,25,18,7
2016.2,,day,2,2015,0,False,3,10,7,2,6,1,0,0,29,22,7
2016.2,,day,1,2015,0,False,11,7,3,1,1,5,0,0,28,22,6
2016.2,,day,1,2015,0,False,5,4,0,3,6,5,0,0,23,12,11
2016.2,,day,1,2015,0,False,6,19,39,36,6,13,4,0,119,100,19
2016.2,,day,2,2015,0,False,5,3,13,17,9,4,0,0,51,38,13
2016.2,,evening,1,2015,0,False,4,7,2,1,2,6,0,0,22,14,8
2016.2,,evening,2,2015,0,False,0,14,7,3,14,0,0,0,38,24,14
2016.2,,evening,1,2015,0,False,0,2,5,2,5,16,0,0,30,9,21
2016.2,,evening,2,2015,0,False,0,6,0,1,1,7,0,0,15,7,8
2016.2,,evening,1,2015,0,False,1,5,3,2,0,6,0,0,17,11,6
2016.3,,day,1,2015,0,False,18,18,42,34,67,10,0,0,189,112,77
2016.3,,day,2,2015,0,False,3,6,8,13,17,8,0,0,55,30,25
2017.1,,day,1,2015,1,False,16,7,3,0,0,2,0,0,28,26,2
2017.1,,day,2,2015,1,False,12,6,6,2,4,6,0,0,36,26,10
2017.1,,day,1,2015,1,False,2,9,6,2,5,5,0,0,29,19,10
2017.1,,day,2,2015,1,False,7,2,1,0,1,1,0,0,12,10,2
2017.1,,day,1,2015,1,False,5,9,5,0,4,4,0,0,27,19,8
2017.1,,day,2,2015,1,False,0,2,7,2,2,5,0,0,18,11,7
2017.1,,day,1,2015,1,False,5,9,6,3,4,2,0,0,29,23,6
2017.1,,day,2,2015,1,False,18,10,6,1,0,5,0,0,40,35,5
2017.1,,day,1,2015,1,False,10,4,7,2,5,1,0,0,29,23,6
2017.1,,day,1,2015,1,False,6,4,6,3,4,3,0,0,26,19,7
2017.1,,day,1,2015,1,False,13,10,1,4,1,0,0,0,29,28,1
2017.1,,day,1,2015,1,False,12,7,9,1,0,1,0,0,30,29,1
2017.1,,day,1,2015,1,False,3,15,8,2,3,0,0,0,31,28,3
2017.1,,day,1,2015,1,False,10,9,3,1,3,1,0,0,27,23,4
2017.1,,day,2,2015,1,False,25,11,1,0,1,2,0,0,40,37,3
2017.1,,day,1,2015,1,False,19,9,2,0,0,0,0,0,30,30,0
2017.1,,day,2,2015,1,False,4,11,3,3,2,0,0,0,23,21,2
2017.1,,day,1,2015,1,False,11,8,4,2,1,1,0,0,27,25,2
2017.1,,day,1,2015,1,False,1,2,5,2,4,3,0,0,17,10,7
2017.1,,day,1,2015,1,False,1,7,7,2,4,2,0,0,23,17,6
2017.1,,day,1,2015,1,False,3,9,4,9,3,0,1,0,28,25,3
2017.1,,day,1,2015,1,False,14,21,30,31,26,5,0,0,127,96,31
2017.1,,day,2,2015,1,False,4,7,13,13,13,5,1,0,55,37,18
